Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;1;_;0;0;0;25;0;1;0;0;0;0;0;50;none;none;none;none;none;none
0.0;0;_;0;0;0;2;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;1;3;0;1;5;0;1;3;0;15;1;100;0;none;none;none;none;none;none
0.0;0;1;1;1;1;5;0;1;1;0;12;0;100;0;none;none;none;none;none;none
1.0;1;1;2;0;2;9;0;1;2;0;15;1;100;0;none;none;none;none;none;none
0.0;1;_;0;0;3;3;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;2;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
1.0;1;1;0;0;1;5;0;1;0;0;12;1;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;4;0;2;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;2;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;6;0;3;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;4;0;2;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;2;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
1.0;1;1;0;0;1;5;0;1;1;0;13;1;1;0;none;none;none;none;none;none
1.0;1;1;0;0;1;5;0;1;1;0;13;1;1;0;none;none;none;none;none;none
0.0;0;_;0;0;1;4;0;2;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;1;_;0;0;1;3;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;2;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;1;1;0;1;4;0;1;1;0;12;0;100;0;none;none;none;none;none;none
0.0;2;1;1;0;1;6;0;1;1;0;14;1;100;0;none;none;none;none;none;none
0.0;1;1;1;0;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;1;0;1;5;0;1;1;0;14;1;100;0;none;none;none;none;none;none
0.0;0;1;1;0;1;6;0;1;1;0;12;0;100;0;none;none;none;none;none;none
0.0;0;1;2;0;0;15;0;1;2;0;2;0;100;0;none;none;none;none;none;none
3.0;28;12;33;1;2;728;1;2;56;0;176;11;167;95;none;none;none;none;Data Class;none
1.0;6;2;2;0;1;33;0;1;3;0;20;2;150;41;none;none;none;none;none;none
1.0;6;6;19;2;1;199;4;1;22;0;50;5;95;79;none;none;none;none;none;none
0.0;3;1;5;1;0;7;0;1;5;0;5;0;100;0;none;none;none;none;none;none
1.0;13;5;5;1;1;104;1;1;9;0;42;7;160;88;none;none;none;none;none;none
1.0;4;1;8;5;2;52;6;1;8;0;24;1;25;76;none;none;Long Methodt;none;none;none
1.0;1;1;4;2;4;40;1;1;4;0;29;0;75;72;none;Feature Envy;none;none;none;none
0.0;1;1;7;1;0;9;0;1;7;0;7;0;100;0;none;none;none;none;none;none
0.0;1;1;4;1;0;6;0;1;4;0;11;0;100;0;none;none;none;none;none;none
4.0;32;10;29;5;1;601;4;1;45;0;169;16;141;93;none;none;none;none;none;Shotgun Surgery
0.0;3;1;1;1;1;38;0;1;4;0;25;2;400;55;none;none;none;none;none;none
2.0;10;9;12;1;1;165;0;1;19;0;69;5;158;87;none;none;none;none;none;none
0.0;2;2;2;0;2;17;0;1;2;0;25;0;100;33;none;none;none;none;none;none
1.0;5;5;4;0;2;98;0;2;9;0;42;2;225;81;none;none;none;none;none;none
0.0;1;_;0;0;1;4;0;1;0;0;11;0;0;0;none;none;none;none;none;none
4.0;27;8;6;1;1;414;0;1;34;0;110;19;567;97;none;none;none;none;none;none
1.0;9;18;33;0;1;857;4;1;54;0;106;2;152;95;none;none;none;none;none;Shotgun Surgery
0.0;1;1;1;1;0;4;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;1;1;0;5;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;0;_;0;0;0;3;0;1;0;0;2;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;0;3;0;1;0;0;2;0;0;0;none;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;1;1;0;4;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;1;1;0;4;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;0;1;1;0;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;2;1;2;1;0;5;0;1;2;0;2;0;100;0;none;none;none;none;none;none
0.0;0;1;1;0;5;15;1;1;1;0;25;0;0;50;none;none;none;none;none;none
0.0;1;1;1;2;5;19;1;1;1;0;29;0;0;50;none;none;none;none;none;none
0.0;3;1;2;0;2;17;0;1;2;0;40;0;100;50;none;none;none;none;none;none
0.0;1;1;14;0;0;16;0;1;14;0;14;0;100;0;none;none;none;none;none;none
15.0;38;17;27;4;1;950;0;7;42;0;156;15;156;93;none;none;none;Large Class;none;Shotgun Surgery
0.0;4;5;0;0;2;42;0;1;4;0;23;1;4;65;none;none;none;none;none;none
1.0;6;5;0;0;1;29;0;1;2;0;20;2;2;0;none;none;none;none;none;none
0.0;3;1;0;0;2;10;0;1;1;0;18;1;1;0;none;none;none;none;none;none
0.0;6;6;4;1;1;65;0;1;4;0;25;2;100;43;none;none;none;none;none;none
0.0;1;1;0;0;1;8;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;3;1;0;0;1;20;0;1;5;0;16;0;5;60;none;none;none;none;none;none
0.0;1;4;7;6;1;62;3;1;6;0;27;0;43;85;none;none;none;none;none;none
0.0;0;1;36;6;1;45;0;1;0;0;11;0;0;100;none;Feature Envy;none;none;none;none
5.0;37;49;6;3;1;786;0;1;31;0;159;19;517;93;none;none;none;Large Class;none;Shotgun Surgery
1.0;3;3;3;0;2;28;0;1;4;0;52;1;133;40;none;none;none;none;none;none
1.0;3;11;2;0;1;66;0;1;2;0;22;1;100;25;none;none;none;none;none;none
3.0;34;12;115;19;1;944;6;2;118;0;270;22;97;97;none;Feature Envy;none;none;none;none
0.0;1;2;1;0;3;19;0;1;2;0;78;1;200;100;none;none;none;none;none;none
3.0;3;3;9;9;1;43;3;1;9;0;22;1;67;80;none;Feature Envy;none;none;none;none
6.0;22;9;35;7;1;242;2;2;26;0;89;12;69;97;none;none;none;Large Class;none;none
0.0;0;4;6;1;1;32;2;1;3;0;17;0;17;80;none;none;none;none;none;none
2.0;15;5;4;2;1;199;0;2;9;0;53;8;225;85;none;none;none;none;none;none
0.0;3;2;3;0;1;28;0;1;3;0;22;1;100;37;none;none;none;none;none;none
3.0;16;8;36;4;1;426;2;4;44;0;100;7;117;92;none;none;none;none;none;none
0.0;0;_;0;0;0;2;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;2;1;0;6;0;1;2;0;2;0;100;0;none;none;none;none;none;none
1.0;22;9;23;3;1;279;5;3;27;0;86;10;96;89;none;none;none;none;none;none
0.0;0;1;2;1;1;14;2;1;2;0;13;0;0;33;none;none;none;none;none;none
0.0;0;_;0;0;1;4;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;1;1;2;1;0;4;0;1;2;0;9;0;100;0;none;none;none;none;none;none
