Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;1;1;0;0;1;9;0;1;1;0;13;1;1;50;none;none;none;none;none;none
0.0;1;2;1;0;1;19;0;1;2;0;15;1;200;_;none;none;none;none;none;none
6.0;66;13;5;0;1;504;0;1;20;0;153;38;400;92;none;none;none;none;none;Shotgun Surgery
0.0;1;2;1;0;1;22;0;1;1;0;14;1;100;_;none;none;none;none;none;none
2.0;17;2;1;0;1;37;0;1;1;0;31;8;100;0;none;none;none;none;none;none
0.0;6;4;0;0;1;15;0;1;1;0;22;3;1;0;none;none;none;none;none;none
3.0;12;3;6;13;5;69;2;1;6;0;472;7;67;83;Refused Bequest;none;none;none;none;none
0.0;2;1;52;35;1;107;0;1;3;0;20;2;6;99;none;Feature Envy;none;none;none;none
0.0;0;_;0;0;0;2;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;6;2;0;8;0;1;6;0;6;0;100;0;none;none;none;none;none;none
0.0;3;1;4;1;0;6;0;1;4;0;4;0;100;0;none;none;none;none;none;none
0.0;0;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;0;1;1;0;3;8;0;1;1;0;18;0;100;0;none;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
1.0;0;2;4;1;2;20;1;1;4;0;18;1;75;40;none;Feature Envy;none;none;none;none
2.0;22;17;6;38;1;305;0;2;18;0;61;3;300;73;none;none;none;none;none;none
0.0;1;3;3;1;1;35;0;1;5;0;16;0;167;16;none;none;none;none;none;none
0.0;0;_;38;46;0;40;0;1;0;0;0;0;0;0;none;Feature Envy;none;none;none;none
0.0;0;1;1;0;3;6;0;1;1;0;18;0;100;0;none;none;none;none;none;none
0.0;1;1;3;1;0;5;0;1;3;0;3;0;100;0;none;none;none;none;none;none
1.0;0;1;2;2;3;14;1;1;2;0;19;0;50;33;none;Feature Envy;none;none;none;none
0.0;1;1;2;1;0;4;0;1;2;0;2;0;100;0;none;none;none;none;none;none
0.0;0;1;1;0;3;6;0;1;1;0;18;0;100;0;none;none;none;none;none;none
0.0;1;1;5;1;0;7;0;1;5;0;5;0;100;0;none;none;none;none;none;none
0.0;0;1;1;0;3;6;0;1;1;0;18;0;100;0;none;none;none;none;none;none
0.0;1;1;2;1;0;4;0;1;2;0;2;0;100;0;none;none;none;none;none;none
1.0;0;1;2;1;3;14;1;1;2;0;19;0;50;33;none;none;none;none;none;none
0.0;1;1;5;1;0;7;0;1;5;0;5;0;100;0;none;none;none;none;none;none
0.0;0;1;5;9;1;28;0;1;5;0;16;0;100;58;none;none;none;none;none;none
0.0;7;6;12;1;1;113;0;1;13;0;47;3;108;74;none;none;none;none;none;none
0.0;9;17;9;109;1;294;0;1;11;0;39;5;122;85;none;none;none;none;none;none
0.0;0;1;1;0;1;7;0;1;1;0;12;0;100;0;none;none;none;none;none;none
0.0;0;1;2;1;1;4;0;1;2;0;13;0;100;0;none;none;none;none;none;none
0.0;12;5;13;4;2;177;0;1;16;0;63;6;123;86;none;none;none;none;none;none
0.0;2;3;1;0;2;10;0;1;1;0;15;0;100;_;none;none;none;none;none;none
0.0;2;1;1;1;1;9;0;1;2;0;16;0;200;_;none;none;none;none;none;none
0.0;11;3;21;2;3;127;1;1;21;0;128;0;95;68;Refused Bequest;none;none;none;none;none
0.0;2;1;1;3;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
2.0;20;4;79;111;2;333;15;1;68;0;138;10;67;97;none;none;none;none;none;none
0.0;2;1;1;0;1;5;0;1;1;0;14;0;100;_;none;none;none;none;none;none
0.0;1;2;8;4;1;40;2;1;7;0;21;1;63;70;none;none;none;none;none;none
1.0;3;3;5;5;2;43;1;1;6;0;33;1;100;14;none;none;none;none;none;none
