Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
1.0;9;11;4;1;0;255;0;3;6;0;40;1;150;65;none;none;none;none;none;none
0.0;0;1;8;1;0;45;4;1;8;0;9;1;50;83;none;none;none;none;none;none
0.0;0;1;13;1;0;35;1;1;7;0;8;0;46;85;none;none;none;none;none;none
0.0;0;_;11;3;0;13;0;1;0;0;0;0;0;0;none;none;none;none;none;none
1.0;3;2;22;2;1;120;0;1;20;0;50;1;91;81;none;none;none;none;none;none
2.0;3;5;10;1;3;94;0;1;6;0;42;1;60;74;none;none;none;none;none;none
0.0;0;3;6;1;1;75;0;1;6;0;26;3;100;0;none;none;none;none;none;none
0.0;2;1;3;0;0;47;0;1;3;0;4;0;100;60;none;none;none;none;none;none
0.0;3;1;5;0;0;241;0;1;6;0;10;0;120;79;none;none;none;none;none;none
0.0;2;1;4;0;1;84;0;1;2;0;14;0;50;83;none;none;none;none;none;none
0.0;0;_;11;2;0;68;0;1;0;0;0;0;0;0;none;none;none;none;none;none
2.0;3;23;1;0;2;780;0;1;29;0;56;1;2900;89;none;none;none;none;none;Shotgun Surgery
3.0;4;60;4;0;2;1595;0;2;32;0;57;1;800;92;none;none;none;none;none;Shotgun Surgery
0.0;0;_;0;0;1;6;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;2;0;0;1;92;0;1;3;0;14;0;3;50;none;none;none;none;none;none
1.0;10;10;0;0;1;95;0;1;1;0;40;7;1;50;none;none;none;none;none;Shotgun Surgery
1.0;1;1;5;0;1;21;0;1;5;0;22;1;100;0;none;none;none;none;none;none
2.0;19;6;4;5;1;112;0;1;6;0;51;14;150;64;none;none;none;none;none;none
1.0;15;8;1;0;2;99;0;1;2;0;87;5;200;22;Refused Bequest;none;none;none;none;none
0.0;0;1;0;0;4;14;0;1;0;0;24;0;0;0;none;none;none;none;none;none
1.0;7;9;0;0;1;58;0;1;0;0;31;5;0;0;none;none;none;none;none;none
0.0;9;6;4;4;1;289;0;10;4;0;52;2;100;66;none;none;none;none;none;none
0.0;0;1;1;0;2;7;0;1;1;0;16;0;100;0;none;none;none;none;none;none
0.0;0;1;2;0;3;11;0;1;2;0;22;0;100;0;none;none;none;none;none;none
0.0;3;1;8;5;1;46;4;1;8;0;20;0;50;72;none;none;none;none;none;none
0.0;8;2;5;1;2;130;0;3;5;0;45;5;100;0;none;none;none;none;none;none
0.0;7;2;2;0;2;26;0;1;2;0;30;3;100;0;none;none;none;none;none;none
1.0;8;2;2;0;2;59;0;1;2;0;34;4;100;0;none;none;none;none;none;none
0.0;0;1;1;0;2;7;0;1;1;0;17;0;100;0;none;none;none;none;none;none
0.0;2;3;2;0;2;51;0;2;2;0;27;1;100;0;none;none;none;none;none;none
1.0;4;3;2;0;2;35;0;1;2;0;29;3;100;0;none;none;none;none;none;none
0.0;0;1;5;2;0;8;0;1;5;0;5;0;100;0;none;none;none;none;none;none
1.0;12;3;2;1;1;63;0;1;2;0;35;7;100;0;none;none;none;none;none;none
5.0;29;5;0;0;6;632;0;10;2;0;591;11;2;40;Refused Bequest;none;none;none;none;none
0.0;3;5;1;0;1;24;0;1;1;0;16;3;100;0;none;none;none;none;none;none
5.0;23;3;0;0;5;98;0;2;2;0;487;4;2;55;none;none;none;none;none;none
1.0;8;2;1;0;1;21;0;1;1;0;25;3;100;0;none;none;none;none;none;none
2.0;12;5;2;1;2;116;0;1;6;0;43;4;300;61;none;none;none;none;none;none
5.0;14;3;1;0;5;64;0;1;3;0;478;5;300;50;none;none;none;none;none;none
3.0;10;1;6;1;5;80;0;1;6;0;483;6;100;85;none;none;none;none;none;none
2.0;6;1;0;0;5;24;0;1;0;0;462;3;0;0;none;none;none;none;none;none
0.0;1;1;1;0;2;7;0;1;1;0;33;1;100;0;none;none;none;none;none;none
2.0;6;2;5;1;1;68;0;1;5;0;30;3;100;0;none;none;none;none;none;none
1.0;4;7;13;2;1;300;0;1;15;0;34;2;115;71;none;none;none;none;none;none
2.0;4;8;29;3;1;353;0;1;30;0;71;3;103;56;none;none;none;none;Data Class;none
0.0;1;6;44;2;1;195;0;1;8;14;31;2;18;92;none;none;Long Methodt;none;none;none
2.0;7;13;15;1;3;308;0;3;15;0;66;3;100;83;Refused Bequest;none;none;none;none;none
0.0;3;1;3;0;1;22;0;1;3;0;20;0;100;0;none;none;none;none;none;none
0.0;3;1;3;1;0;12;0;1;3;0;3;0;100;0;none;none;none;none;none;none
2.0;5;6;10;0;3;168;0;1;11;0;49;2;110;75;Refused Bequest;none;none;none;none;none
2.0;0;2;68;3;1;252;31;1;68;0;91;3;54;97;none;none;none;none;none;none
0.0;4;2;24;1;1;59;4;1;16;8;30;1;50;86;none;none;none;none;none;none
0.0;2;1;8;1;0;37;5;1;8;0;9;0;38;80;none;none;none;none;none;none
1.0;13;8;44;0;0;703;0;1;52;0;122;4;118;94;none;none;none;none;none;none
0.0;0;2;4;0;1;22;0;1;4;0;16;0;100;60;none;none;none;none;none;none
1.0;21;27;0;0;1;279;0;1;15;0;105;16;15;78;none;none;none;none;none;Shotgun Surgery
0.0;3;2;16;2;1;59;6;1;16;0;30;1;63;87;none;none;none;none;none;none
2.0;28;14;10;3;1;394;0;2;16;0;105;14;160;75;none;none;none;none;none;Shotgun Surgery
0.0;1;13;0;0;1;65;0;1;0;0;22;2;0;0;none;none;none;none;none;none
3.0;12;5;13;19;5;179;1;1;16;0;485;2;115;77;none;Feature Envy;none;none;none;none
0.0;2;1;2;6;2;13;0;1;2;0;20;0;100;0;none;none;none;none;none;none
1.0;7;7;6;0;2;121;0;1;9;0;71;2;150;70;none;none;none;none;none;none
2.0;13;4;9;8;2;105;3;1;12;0;59;6;100;76;none;Feature Envy;none;none;none;none
0.0;6;5;3;1;1;49;0;1;3;0;29;4;100;50;none;none;none;none;none;none
2.0;23;6;13;13;1;251;0;2;15;0;80;13;115;50;none;none;none;none;none;none
0.0;9;2;0;0;2;58;0;1;4;0;41;2;4;0;none;none;none;none;none;none
2.0;10;3;6;0;3;118;3;2;6;0;49;5;50;68;none;none;none;none;none;none
0.0;3;3;2;1;1;30;1;1;2;0;16;1;50;22;none;none;none;none;none;none
4.0;16;7;7;2;1;174;1;1;15;0;46;6;200;76;none;none;none;none;none;none
9.0;54;19;72;49;2;1338;10;1;79;0;339;28;96;96;none;none;none;Large Class;none;Shotgun Surgery
3.0;29;8;6;3;1;345;0;3;12;0;85;16;200;70;none;none;none;none;Data Class;Shotgun Surgery
0.0;2;1;7;3;1;24;0;1;2;5;14;1;29;46;none;none;none;none;none;none
1.0;5;8;4;1;2;64;0;1;3;1;62;3;75;61;none;none;none;none;none;none
0.0;1;3;23;22;1;42;0;1;1;22;14;1;4;100;none;none;Long Methodt;none;none;none
0.0;1;1;1;2;0;4;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;3;13;1;28;1;1;3;0;17;2;67;19;none;Feature Envy;none;none;none;none
1.0;3;2;1;0;2;15;0;1;1;0;30;2;100;50;none;none;none;none;none;none
0.0;3;2;9;8;2;69;0;2;9;0;31;1;100;0;none;none;none;none;none;none
1.0;6;2;1;0;1;21;0;1;1;0;16;2;100;0;none;none;none;none;none;none
3.0;14;7;6;38;1;232;0;4;8;0;57;11;133;66;none;none;none;none;none;none
0.0;2;1;0;0;1;14;0;1;0;0;11;0;0;0;none;none;none;none;none;none
3.0;9;7;5;1;3;92;0;1;5;0;98;5;100;46;none;none;none;none;none;none
2.0;4;1;1;0;1;21;0;1;1;0;18;3;100;0;none;none;none;none;none;none
8.0;56;26;29;18;5;835;5;4;33;0;683;22;97;79;none;none;none;none;none;Shotgun Surgery
