Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
1.0;0;1;25;1;2;67;0;1;1;0;40;0;4;50;none;none;none;none;none;none
9.0;105;16;58;4;1;1079;0;1;58;0;191;24;100;33;none;none;none;none;none;Shotgun Surgery
1.0;3;2;1;0;6;20;0;1;1;0;463;0;100;33;Refused Bequest;none;none;none;none;none
0.0;3;1;3;0;2;22;0;1;3;0;16;0;100;62;Refused Bequest;none;none;none;none;none
0.0;1;1;2;1;0;4;0;1;2;0;13;0;100;0;none;none;none;none;none;none
12.0;82;17;116;6;5;1624;0;1;115;0;766;35;99;96;none;none;none;Large Class;none;Shotgun Surgery
0.0;9;6;8;27;1;75;0;1;10;0;30;1;125;62;none;Feature Envy;none;none;none;none
0.0;1;1;1;2;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
2.0;12;6;3;0;1;93;0;1;4;0;29;3;133;69;none;none;none;none;none;none
2.0;26;3;27;1;1;217;0;1;27;0;67;9;100;0;none;none;none;none;none;none
2.0;13;7;21;1;1;155;0;1;21;0;45;2;100;80;none;none;none;none;none;none
0.0;4;1;16;0;1;64;0;1;16;0;27;0;100;86;none;none;none;none;none;none
0.0;0;1;2;0;0;4;0;1;2;0;2;0;100;0;none;none;none;none;none;none
0.0;5;3;10;53;1;121;0;1;10;0;29;4;100;0;none;Feature Envy;none;none;none;none
8.0;59;16;65;19;1;686;0;1;64;0;172;17;98;93;none;none;none;none;none;Shotgun Surgery
0.0;6;3;1;0;0;132;0;1;1;0;8;5;100;0;none;none;none;none;none;none
2.0;15;22;41;22;1;414;0;1;44;0;68;1;107;91;none;none;none;none;none;none
0.0;5;4;7;15;1;40;0;1;7;0;25;0;100;50;none;Feature Envy;none;none;none;none
0.0;1;1;1;2;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;4;4;0;1;36;0;1;3;0;15;0;75;68;none;none;none;none;none;none
0.0;12;5;3;0;1;53;0;1;4;0;33;8;133;30;none;none;none;none;none;none
0.0;9;6;6;1;1;70;0;1;8;0;36;3;133;55;none;none;none;none;none;none
1.0;9;5;2;0;6;107;0;1;5;0;586;5;250;71;none;none;none;none;none;none
6.0;62;34;67;1;1;885;0;1;90;0;240;23;134;91;none;none;none;Large Class;none;none
0.0;9;6;6;1;1;70;0;1;8;0;36;3;133;55;none;none;none;none;none;none
0.0;9;3;6;11;1;54;0;1;10;0;33;3;167;54;none;none;none;none;none;none
0.0;10;5;7;10;2;66;0;1;8;0;35;2;114;37;none;Feature Envy;none;none;none;none
0.0;1;1;2;3;0;4;0;1;2;0;2;0;100;0;none;none;none;none;none;none
0.0;5;1;1;1;0;4;0;1;1;0;1;0;100;0;none;none;none;none;none;none
3.0;20;9;16;0;2;165;0;1;18;0;53;6;113;69;none;none;none;none;none;none
3.0;25;12;25;0;4;207;0;1;22;0;86;9;88;82;none;none;none;none;none;none
2.0;12;7;10;1;3;103;0;1;10;0;51;5;100;59;none;none;none;none;none;none
2.0;8;9;13;2;2;121;0;1;12;0;41;3;92;81;none;none;none;none;none;none
0.0;5;1;1;1;0;5;0;1;1;0;3;0;100;0;none;none;none;none;none;none
0.0;1;1;3;1;0;5;0;1;3;0;3;0;100;0;none;none;none;none;none;none
2.0;15;11;4;0;3;126;0;1;6;0;46;1;150;56;none;none;none;none;none;none
1.0;17;10;12;0;3;134;0;1;14;0;58;3;117;70;none;none;none;none;none;none
0.0;9;10;4;0;3;104;0;1;4;0;41;1;100;47;none;none;none;none;none;none
1.0;17;8;7;0;3;111;0;1;9;0;51;2;129;71;none;none;none;none;none;none
2.0;18;10;4;0;3;130;0;1;6;0;47;3;150;53;none;none;none;none;none;none
3.0;22;11;25;0;4;218;0;1;22;0;95;7;88;82;none;none;none;none;none;none
2.0;20;8;8;0;3;142;0;1;10;0;57;5;125;60;none;none;none;none;none;none
2.0;18;8;4;0;3;123;0;1;6;0;54;3;150;46;none;none;none;none;none;none
3.0;18;15;27;2;3;247;0;1;26;0;73;4;96;86;none;none;none;none;none;none
2.0;23;13;12;0;3;182;0;1;12;0;67;7;100;69;none;none;none;none;none;Shotgun Surgery
3.0;20;27;68;25;1;744;0;1;61;0;101;5;90;95;none;none;none;none;none;none
0.0;2;1;4;2;1;40;0;1;4;0;16;0;100;50;none;none;none;none;none;none
0.0;1;4;6;1;1;46;0;1;4;0;17;0;67;72;none;none;none;none;none;none
0.0;2;5;9;3;1;74;0;1;6;0;21;1;67;71;none;none;none;none;none;none
0.0;3;7;15;8;1;178;0;1;15;0;34;3;100;49;none;Feature Envy;none;none;none;none
0.0;2;1;10;4;1;56;0;1;10;0;22;0;100;69;none;none;none;none;none;none
0.0;1;4;5;3;1;41;0;1;3;0;15;0;60;70;none;none;none;none;none;none
1.0;12;14;32;14;2;716;0;1;35;0;129;4;109;92;none;none;none;none;none;none
0.0;0;1;1;0;3;92;0;1;1;0;101;0;100;100;none;none;none;none;none;none
1.0;1;9;5;1;1;91;0;1;5;0;16;0;100;75;none;none;none;none;none;none
2.0;3;7;13;2;1;208;0;1;8;0;23;1;62;81;none;none;none;none;none;none
0.0;2;4;4;2;1;37;0;1;3;0;16;1;75;68;none;none;none;none;none;none
0.0;0;6;3;0;2;50;0;1;3;0;19;0;100;33;none;none;none;none;none;none
0.0;9;9;15;2;1;212;0;1;12;0;46;3;80;79;none;none;none;none;none;none
0.0;2;2;5;0;3;32;0;1;4;0;61;1;80;96;none;none;none;none;none;none
1.0;10;10;20;1;4;635;0;2;20;1;186;2;100;87;none;none;none;none;none;none
0.0;0;_;1;0;4;9;0;1;0;1;20;0;0;0;none;none;none;none;none;none
4.0;29;19;34;2;3;1050;0;2;37;0;226;8;109;92;none;none;none;none;Data Class;Shotgun Surgery
0.0;1;4;8;0;1;43;0;1;8;0;27;0;100;0;none;none;none;none;none;none
0.0;1;4;3;0;3;34;0;1;3;0;23;0;100;19;none;none;none;none;none;none
0.0;1;4;5;1;1;41;0;1;3;0;15;0;60;70;none;none;none;none;none;none
2.0;6;8;25;1;2;214;0;1;22;0;54;3;88;89;none;none;none;none;Data Class;none
1.0;2;8;10;2;1;67;0;1;4;0;16;0;40;73;none;none;none;none;none;none
2.0;10;6;7;0;3;85;0;1;9;0;119;1;129;61;none;none;none;none;none;none
0.0;18;6;17;1;3;448;0;1;21;0;180;8;124;84;none;none;none;none;none;none
0.0;6;17;18;0;4;547;0;1;23;0;197;4;128;86;none;none;none;none;none;Shotgun Surgery
