Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;0;1;4;0;1;9;0;1;0;0;11;0;0;100;none;none;none;none;none;none
0.0;1;1;4;0;0;27;0;1;3;0;4;1;75;80;none;none;none;none;none;none
0.0;4;1;5;0;2;46;0;1;6;0;29;2;120;77;none;none;none;none;none;none
0.0;2;1;2;1;1;170;0;1;3;0;7;1;150;86;Refused Bequest;none;none;none;none;none
0.0;1;_;0;0;2;32;0;1;0;0;2;0;0;50;none;none;none;none;none;none
0.0;0;1;1;0;1;23;0;1;1;0;17;0;100;37;none;none;none;none;none;none
0.0;0;1;1;0;1;22;0;1;1;0;2;0;100;50;Refused Bequest;none;none;none;none;none
0.0;0;_;0;0;2;17;0;1;0;0;2;0;0;33;none;none;none;none;none;none
0.0;4;4;0;0;1;57;0;3;0;0;15;0;0;66;none;none;none;none;none;none
0.0;1;4;1;0;1;15;0;1;1;0;19;1;100;0;none;none;none;none;none;none
0.0;1;4;1;0;1;15;0;1;1;0;19;1;100;0;none;none;none;none;none;none
0.0;1;1;1;0;0;4;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;0;_;0;0;0;21;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;3;1;5;0;2;31;0;1;5;0;25;1;100;0;Refused Bequest;none;none;none;none;none
0.0;2;1;0;0;0;65;0;1;1;0;1;0;1;85;none;none;none;none;none;none
0.0;3;2;0;0;1;55;0;1;7;0;21;1;7;0;none;none;none;none;none;none
0.0;1;1;3;3;1;35;0;1;4;0;5;0;133;66;Refused Bequest;none;none;none;none;none
0.0;4;1;5;0;2;36;0;1;5;0;28;2;100;71;none;none;none;none;none;none
0.0;0;_;0;0;2;24;0;1;0;0;3;0;0;50;none;none;none;none;none;none
0.0;1;1;4;0;3;83;1;1;2;0;8;0;25;90;none;none;none;none;none;none
0.0;0;1;0;0;1;35;0;1;0;0;11;0;0;66;none;none;none;none;none;none
0.0;0;_;0;0;2;136;0;1;0;0;4;0;0;100;none;none;none;none;none;none
0.0;4;1;5;0;2;33;0;1;5;0;29;2;100;71;none;none;none;none;none;none
0.0;0;1;2;0;3;27;0;1;1;0;5;0;50;58;none;none;none;none;none;none
0.0;1;1;2;0;2;73;1;1;3;0;9;0;100;90;none;none;none;none;none;none
0.0;3;1;0;0;1;58;0;1;1;0;14;0;1;71;none;none;none;none;none;none
0.0;0;_;0;0;1;17;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;47;0;1;0;0;11;0;0;80;none;none;none;none;none;none
0.0;0;_;0;0;0;4;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;3;1;0;0;1;157;0;1;2;0;13;0;2;79;none;none;none;none;none;none
0.0;3;1;0;0;1;11;0;1;1;0;13;0;1;0;none;none;none;none;none;none
0.0;0;1;0;0;2;28;0;1;3;0;18;0;3;83;none;none;none;none;none;none
0.0;0;1;0;0;1;57;0;1;3;0;15;0;3;88;none;none;none;none;none;none
0.0;2;1;0;0;2;11;0;1;0;0;11;0;0;50;none;none;none;none;none;none
0.0;2;1;0;0;2;11;0;1;0;0;11;0;0;50;none;none;none;none;none;none
0.0;2;1;0;0;2;11;0;1;0;0;11;0;0;50;none;none;none;none;none;none
0.0;0;3;1;1;1;13;0;1;1;0;17;0;100;0;none;none;none;none;none;none
0.0;0;2;1;0;1;11;0;1;1;0;19;0;100;0;none;none;none;none;none;none
0.0;0;5;1;1;1;19;0;1;1;0;20;0;100;0;none;none;none;none;none;none
0.0;6;1;1;0;1;21;0;1;3;0;25;0;300;83;none;none;none;none;none;none
0.0;0;1;0;0;2;6;0;1;0;0;17;0;0;0;none;none;none;none;none;none
0.0;0;1;0;0;2;6;0;1;0;0;17;0;0;0;none;none;none;none;none;none
0.0;0;1;0;0;2;6;0;1;0;0;17;0;0;0;none;none;none;none;none;none
0.0;1;5;1;0;1;24;0;1;1;0;17;0;100;0;none;none;none;none;none;none
0.0;0;_;0;0;0;5;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;0;5;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;1;0;0;0;6;0;1;0;0;0;0;0;100;none;none;none;none;none;none
0.0;3;2;0;0;1;58;0;1;2;0;18;2;2;85;none;none;none;none;none;none
0.0;2;1;4;0;1;31;3;1;4;0;15;0;25;40;none;none;none;none;none;none
0.0;0;_;0;0;1;101;0;1;0;0;11;0;0;87;none;none;none;none;none;none
0.0;5;4;1;0;1;127;0;3;3;0;24;2;300;68;none;none;none;none;none;none
0.0;1;3;2;0;1;23;0;1;2;0;14;1;100;0;none;none;none;none;none;none
0.0;2;3;1;0;1;24;0;1;1;0;16;0;100;37;none;none;none;none;none;none
1.0;4;2;6;0;1;109;0;3;6;0;20;0;100;69;none;none;none;none;none;none
1.0;4;2;3;0;1;36;0;1;4;0;17;0;133;64;none;none;none;none;none;none
0.0;2;1;1;1;1;21;0;1;1;0;12;0;100;83;none;none;none;none;none;none
