Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;0;1;0;0;1;20;0;1;3;0;14;0;3;_;none;none;none;none;none;none
0.0;1;2;26;0;6;118;0;1;26;0;287;0;100;100;none;none;none;none;none;none
0.0;1;1;22;0;6;98;0;1;22;0;276;0;100;100;none;none;none;none;none;none
0.0;1;2;16;0;6;80;0;1;16;0;267;0;100;100;none;none;none;none;none;none
0.0;1;1;2;0;6;18;0;1;2;0;236;0;100;100;none;none;none;none;none;none
0.0;1;1;4;0;6;26;0;1;4;0;240;0;100;100;none;none;none;none;none;none
0.0;1;1;6;0;6;34;0;1;6;0;244;0;100;100;none;none;none;none;none;none
0.0;1;1;12;0;6;58;0;1;12;0;256;0;100;100;none;none;none;none;none;none
0.0;13;9;10;0;1;116;0;1;10;0;51;4;100;60;none;none;none;none;none;none
0.0;1;2;11;0;6;67;0;1;11;0;259;1;100;100;none;none;none;none;none;none
0.0;4;7;3;0;1;179;0;1;8;0;34;1;267;85;none;Feature Envy;none;none;none;none
0.0;1;1;2;0;6;18;0;1;2;0;236;0;100;100;none;none;none;none;none;none
0.0;3;2;2;0;3;23;0;1;2;0;40;1;100;66;Refused Bequest;none;none;none;none;none
0.0;1;1;2;0;6;18;0;1;2;0;236;0;100;100;none;none;none;none;none;none
0.0;1;1;2;0;6;18;0;1;2;0;236;0;100;100;none;none;none;none;none;none
3.0;20;5;29;1;6;430;0;1;33;0;358;4;114;95;none;none;none;none;none;none
1.0;5;4;17;46;5;128;0;1;22;0;240;2;129;100;none;none;none;none;none;none
0.0;1;1;0;0;6;10;0;1;0;0;233;0;0;100;none;none;none;none;none;none
0.0;1;1;6;0;6;34;0;1;6;0;244;0;100;100;none;none;none;none;none;none
0.0;0;_;0;0;0;3;0;1;0;0;0;0;0;0;none;none;none;none;none;none
1.0;3;2;18;0;6;83;0;1;18;0;268;1;100;94;none;none;none;none;none;none
0.0;1;1;16;0;6;74;0;1;16;0;265;0;100;100;none;none;none;none;none;none
0.0;1;1;4;0;6;26;0;1;4;0;240;0;100;100;none;none;none;none;none;none
0.0;1;1;8;0;6;42;0;1;8;0;248;0;100;100;none;none;none;none;none;none
0.0;1;1;2;0;6;18;0;1;2;0;236;0;100;100;none;none;none;none;none;none
0.0;1;1;2;0;6;18;0;1;2;0;236;0;100;100;none;none;none;none;none;none
0.0;1;1;2;0;6;18;0;1;2;0;236;0;100;100;none;none;none;none;none;none
0.0;1;1;20;0;6;90;0;1;20;0;273;0;100;100;none;none;none;none;none;none
0.0;1;1;26;0;6;114;0;1;26;0;284;0;100;100;none;none;none;none;none;none
0.0;1;2;37;0;6;167;0;1;37;0;311;1;100;100;none;none;none;none;none;none
0.0;1;1;2;0;6;18;0;1;2;0;237;0;100;100;none;none;none;none;none;none
0.0;1;1;4;0;6;26;0;1;4;0;241;0;100;100;none;none;none;none;none;none
0.0;1;2;4;0;6;32;0;1;4;0;243;0;100;100;none;none;none;none;none;none
0.0;1;2;4;0;6;32;0;1;4;0;243;0;100;100;none;none;none;none;none;none
0.0;1;1;18;0;6;82;0;1;18;0;268;0;100;100;none;none;none;none;none;none
1.0;3;2;4;0;6;31;0;1;4;0;240;0;100;80;none;none;none;none;none;none
0.0;1;1;2;0;6;18;0;1;2;0;236;0;100;100;none;none;none;none;none;none
0.0;1;1;8;0;6;42;0;1;8;0;248;0;100;100;none;none;none;none;none;none
0.0;1;1;4;0;6;26;0;1;4;0;240;0;100;100;none;none;none;none;none;none
0.0;1;1;6;0;6;34;0;1;6;0;245;0;100;100;none;none;none;none;none;none
0.0;1;1;34;0;6;153;0;1;34;0;304;1;100;100;none;none;none;none;none;none
0.0;1;1;4;0;6;26;0;1;4;0;240;0;100;100;none;none;none;none;none;none
0.0;4;5;14;1;6;113;0;1;14;0;264;2;100;100;none;none;none;none;none;none
0.0;1;1;2;0;6;18;0;1;2;0;236;0;100;100;none;none;none;none;none;none
0.0;1;1;8;0;6;42;0;1;8;0;248;0;100;100;none;none;none;none;none;none
0.0;1;1;2;0;6;18;0;1;2;0;237;0;100;100;none;none;none;none;none;none
0.0;1;1;2;0;6;18;0;1;2;0;236;0;100;100;none;none;none;none;none;none
0.0;4;3;14;0;6;85;0;1;14;0;265;2;100;100;none;none;none;none;none;none
1.0;5;3;23;0;6;118;0;1;23;0;282;2;100;95;none;none;none;none;none;none
0.0;1;1;6;0;6;34;0;1;6;0;244;0;100;100;none;none;none;none;none;none
0.0;1;1;2;0;6;18;0;1;2;0;236;0;100;100;none;none;none;none;none;none
0.0;1;6;30;0;6;176;0;1;30;0;294;0;100;100;none;none;none;none;none;none
0.0;1;2;12;0;6;64;0;1;12;0;259;0;100;100;none;none;none;none;none;none
1.0;8;7;35;0;6;278;0;1;36;0;310;1;103;96;none;none;none;none;none;none
1.0;6;4;19;1;6;174;0;1;20;0;274;2;105;95;none;none;none;none;none;none
1.0;4;4;12;0;6;111;0;1;14;0;262;0;117;93;none;none;none;none;none;none
0.0;1;2;22;0;6;101;0;1;22;0;280;0;100;100;none;none;none;none;none;none
0.0;4;3;2;0;6;37;0;1;2;0;241;2;100;100;none;none;none;none;none;none
0.0;1;1;4;0;6;26;0;1;4;0;240;0;100;100;none;none;none;none;none;none
1.0;3;8;0;0;2;35;0;1;1;0;24;1;1;0;none;none;none;none;none;none
2.0;11;18;0;0;1;266;0;2;8;0;50;6;8;80;none;none;none;none;none;Shotgun Surgery
0.0;0;1;0;0;3;12;0;1;1;0;25;0;1;50;none;none;none;none;none;none
1.0;16;2;0;0;1;93;0;1;8;0;43;6;8;0;none;none;none;none;none;none
0.0;0;1;8;0;0;10;0;1;8;0;12;0;100;0;none;none;none;none;none;none
0.0;0;1;4;0;0;6;0;1;4;0;8;0;100;0;none;none;none;none;none;none
0.0;0;1;4;0;0;6;0;1;4;0;8;0;100;0;none;none;none;none;none;none
0.0;0;1;2;0;0;4;0;1;2;0;6;0;100;0;none;none;none;none;none;none
0.0;0;1;2;0;0;4;0;1;2;0;6;0;100;0;none;none;none;none;none;none
0.0;0;1;2;0;0;4;0;1;2;0;6;0;100;0;none;none;none;none;none;none
0.0;0;1;14;0;0;16;0;1;14;0;18;0;100;0;none;none;none;none;none;none
0.0;0;_;0;0;0;2;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;1;10;0;0;12;0;1;10;0;14;0;100;0;none;none;none;none;none;none
0.0;0;_;0;0;0;2;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;1;4;0;0;6;0;1;4;0;4;0;100;0;none;none;none;none;none;none
0.0;0;1;2;0;0;4;0;1;2;0;6;0;100;0;none;none;none;none;none;none
0.0;0;1;4;0;0;6;0;1;4;0;8;0;100;0;none;none;none;none;none;none
0.0;0;1;8;0;0;10;0;1;8;0;12;0;100;0;none;none;none;none;none;none
0.0;0;_;0;0;0;2;0;1;0;0;4;0;0;0;none;none;none;none;none;none
0.0;0;1;2;0;0;4;0;1;2;0;6;0;100;0;none;none;none;none;none;none
0.0;0;1;18;0;0;20;0;1;18;0;22;0;100;0;none;none;none;none;none;none
0.0;0;1;20;0;0;22;0;1;20;0;24;0;100;0;none;none;none;none;none;none
0.0;0;1;10;0;0;12;0;1;10;0;14;0;100;0;none;none;none;none;none;none
0.0;0;_;0;0;0;2;0;1;0;0;4;0;0;0;none;none;none;none;none;none
0.0;0;1;2;0;0;4;0;1;2;0;6;0;100;0;none;none;none;none;none;none
0.0;0;1;4;0;0;6;0;1;4;0;8;0;100;0;none;none;none;none;none;none
0.0;0;1;8;0;0;10;0;1;8;0;12;0;100;0;none;none;none;none;none;none
0.0;0;1;6;0;0;8;0;1;6;0;10;0;100;0;none;none;none;none;none;none
0.0;0;1;4;0;0;6;0;1;4;0;4;0;100;0;none;none;none;none;none;none
0.0;0;_;0;0;0;2;0;1;0;0;4;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;0;2;0;1;0;0;4;0;0;0;none;none;none;none;none;none
0.0;0;1;16;0;0;18;0;1;16;0;20;0;100;0;none;none;none;none;none;none
0.0;0;1;4;0;0;6;0;1;4;0;8;0;100;0;none;none;none;none;none;none
0.0;0;1;2;0;0;4;0;1;2;0;6;0;100;0;none;none;none;none;none;none
0.0;0;1;2;0;0;4;0;1;2;0;6;0;100;0;none;none;none;none;none;none
