Resource,A,AC,AHF,AID,AIF,AIUR,ALD,AOFD,AUF,CA,CBO,CC,CE,CF,CIW,CL,CM,COC,CR,ChC,DAC,DD,DOIH,EC,FO,HDiff,HEff,HPLen,HPVoc,HPVol,I,IUR,JUC,LCOM1,LCOM2,LCOM3,LOC,MDC,MHF,MIC,MIF,MNOB,MNOL,MNOP,MPC,MSOO,NAM,NCC,NIC,NOA,NOAM,NOC,NOCC,NOCON,NOCP,NOED,NOIS,NOLV,NOM,NOO,NOOM,NOP,NOPA,NORM,NOprnd,NOprtr,NUOprnd,NUOprtr,PC,PF,PIS,PPkgM,PPrivM,PProtM,PPubM,PS,PUR,RFC,RMD,TCC,TCR,TRAp,TRAu,TRDp,TRDu,VOD,WCM,WMPC1,WMPC2,WOC
XE210,,25,78,,60,,,,,,113,136,,1,,,,,8,,33,,6,225,89,13393,160866390,306515,1083,2382304,,,0,7710,100,100,107283,441,35,9,82,,22,15,,136,,,,83,79,872,127,9,,,88,,198,125,50,,,296,145011,161504,1050,40,,7,,8,16,8,68,,,487,,,9,67,225,156,752,35,,591,386,
XE210.org.apache.html.dom,2,4,,,,,,,,0,20,18,98,,,,,,8,,3,,6,53,10,502,719604,6098,234,35579,100,,0,703,100,94,4491,57,,2,,,5,3,,18,,0,,7,6,63,52,1,0,98,20,,40,37,37,,,31,2840,3258,213,21,10,,0,5,16,1,78,62,0,358,1,,9,14,105,156,752,6,,69,58,
XE210.org.apache.html.dom.CollectionIndex,,1,,,,,,0,0,,0,1,0,,0,100,2,0,47,1,0,0,1,4,0,4,124,11,7,31,,,0,0,0,0,20,4,,0,,,0,1,,1,0,,,1,,1,0,1,,0,15,,4,3,0,,0,0,6,5,3,4,,,,80,20,0,0,,,14,,,89,0,0,0,0,0,3,4,3,3
XE210.org.apache.html.dom.CollectionIndex.CollectionIndex,,,,0,,,1,,,,,1,,,,,,,60,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,1,0,,,,0,,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,150,,,,,,,,,
XE210.org.apache.html.dom.CollectionIndex.decrement,,,,0,,,1,,,,,1,,,,,,,43,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,0,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,75,,,,,,,,,
XE210.org.apache.html.dom.CollectionIndex.getIndex,,,,0,,,1,,,,,1,,,,,,,56,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,0,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,125,,,,,,,,,
XE210.org.apache.html.dom.CollectionIndex.isZero,,,,0,,,1,,,,,1,,,,,,,56,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,0,0,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,125,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl,,1,,,,20,,0,0,,1,2,2,,26,67,0,0,15,1,0,3,6,27,1,8,5069,116,41,621,,100,0,351,100,,118,27,,0,,,1,2,,2,0,,,0,0,1,0,1,,2,1,,26,26,26,,0,3,58,58,32,9,,,,0,4,0,96,,,287,,0,18,3,93,0,0,0,0,29,38,100
XE210.org.apache.html.dom.HTMLAnchorElementImpl.HTMLAnchorElementImpl,,,,0,,,0,,,,,1,,,,,,,56,,,,,1,,,,,,,,,0,,,,4,1,,,,0,,2,1,,,,0,,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,125,,,,,,,,,
XE210.org.apache.html.dom.HTMLAnchorElementImpl.blur,,,,0,,,0,,,,,1,,,,,,,25,,,,,1,,,,,,,,,0,,,,3,1,,,,0,,0,0,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,33,,,,,,,,,
